anio,municipio,programa,numero_apoyos,apoyo_estatal,apoyo_municipal,aportacion_productor,total
2025,EZEQUIEL MONTES,DINAMISMO AGROALIMENTARIO,31,1689987.00,0.00,4475729.01,6165716.01
2025,EZEQUIEL MONTES,MAÍZ BLANCO,315,1051886.00,0.00,0.00,1051886.00
2025,EZEQUIEL MONTES,MUNICIPALIZADO,51,1000000.00,1000000.00,2167311.00,4167311.00
2025,EZEQUIEL MONTES,PACAS Y SUPLEMENTOS,24,100800.00,0.00,0.00,100800.00
2025,EZEQUIEL MONTES,TECNIFICACIÓN,5,4081690.00,0.00,2110900.33,6192590.33
2025,HUIMILPAN,APÍCOLAS,7,40967.50,0.00,0.00,40967.50
2025,HUIMILPAN,AVENA Y GARBANZO,168,441450.00,0.00,0.00,441450.00
2025,HUIMILPAN,DINAMISMO AGROALIMENTARIO,97,2362288.00,0.00,2071121.13,4433409.13
2025,HUIMILPAN,MAÍZ BLANCO,932,2661104.00,0.00,0.00,2661104.00
2025,HUIMILPAN,MUNICIPALIZADO,75,1000000.00,1000000.00,1840960.00,3840960.00
2025,HUIMILPAN,PACAS Y SUPLEMENTOS,36,153104.00,0.00,0.00,153104.00
2025,JALPAN DE SERRA,ACUÍCOLAS,7,46446.40,0.00,0.00,46446.40
2025,JALPAN DE SERRA,APÍCOLAS,17,94810.50,0.00,0.00,94810.50
2025,JALPAN DE SERRA,AVENA Y GARBANZO,95,420750.00,0.00,0.00,420750.00
2025,JALPAN DE SERRA,BORDERÍA,4,2463333.00,0.00,1060000.00,3523333.00
2025,JALPAN DE SERRA,DINAMISMO AGROALIMENTARIO,70,2734650.00,0.00,4375719.60,7110369.60
2025,JALPAN DE SERRA,MAÍZ BLANCO,625,1422160.00,0.00,0.00,1422160.00
2025,JALPAN DE SERRA,MUNICIPALIZADO,291,2000000.00,2000000.00,2473940.00,6473940.00
2025,JALPAN DE SERRA,PACAS Y SUPLEMENTOS,237,1005900.00,0.00,0.00,1005900.00
2025,LANDA DE MATAMOROS,APÍCOLAS,6,30433.00,0.00,0.00,30433.00
2025,LANDA DE MATAMOROS,AVENA Y GARBANZO,93,437500.00,0.00,0.00,437500.00
2025,LANDA DE MATAMOROS,BORDERÍA,8,655107.00,0.00,487318.00,1142425.00
2025,LANDA DE MATAMOROS,DINAMISMO AGROALIMENTARIO,77,2300502.00,0.00,2109838.00,4410340.00
2025,LANDA DE MATAMOROS,MAÍZ BLANCO,671,1486221.00,0.00,0.00,1486221.00
2025,LANDA DE MATAMOROS,MUNICIPALIZADO,270,4000000.00,4000000.00,5322792.00,13322792.00
2025,LANDA DE MATAMOROS,PACAS Y SUPLEMENTOS,297,1280552.00,0.00,0.00,1280552.00
2025,PEDRO ESCOBEDO,APÍCOLAS,3,18728.00,0.00,0.00,18728.00
2025,PEDRO ESCOBEDO,AVENA Y GARBANZO,133,680400.00,0.00,0.00,680400.00
2025,PEDRO ESCOBEDO,BORDERÍA,2,160685.00,0.00,93790.00,254475.00
2025,PEDRO ESCOBEDO,DINAMISMO AGROALIMENTARIO,185,7103737.00,0.00,17017360.26,24121097.26
2025,PEDRO ESCOBEDO,MAÍZ BLANCO,636,1705310.00,0.00,0.00,1705310.00
2025,PEDRO ESCOBEDO,MUNICIPALIZADO,140,3000000.00,3000000.00,6565328.00,12565328.00
2025,PEDRO ESCOBEDO,PACAS Y SUPLEMENTOS,72,300888.00,0.00,0.00,300888.00
2025,PEDRO ESCOBEDO,TECNIFICACIÓN,33,2800637.00,0.00,1716368.14,4517005.14
2025,PEÑAMILLER,AVENA Y GARBANZO,22,90450.00,0.00,0.00,90450.00
2025,PEÑAMILLER,BORDERÍA,4,337000.00,0.00,153000.00,490000.00
2025,PEÑAMILLER,DINAMISMO AGROALIMENTARIO,9,177860.00,0.00,189936.26,367796.26
2025,PEÑAMILLER,MAÍZ BLANCO,738,1126197.00,0.00,0.00,1126197.00
2025,PEÑAMILLER,MUNICIPALIZADO,140,1000000.00,1000000.00,1141416.00,3141416.00
2025,PEÑAMILLER,PACAS Y SUPLEMENTOS,156,676900.00,0.00,0.00,676900.00
2025,PINAL DE AMOLES,ACUÍCOLAS,1,6635.20,0.00,0.00,6635.20
2025,PINAL DE AMOLES,APÍCOLAS,4,19898.50,0.00,0.00,19898.50
2025,PINAL DE AMOLES,AVENA Y GARBANZO,55,232550.00,0.00,0.00,232550.00
2025,PINAL DE AMOLES,DINAMISMO AGROALIMENTARIO,86,1709727.00,0.00,1322773.00,3032500.00
2025,PINAL DE AMOLES,MAÍZ BLANCO,1047,2568856.00,0.00,0.00,2568856.00
2025,PINAL DE AMOLES,MUNICIPALIZADO,288,1500000.00,1500000.00,1545455.00,4545455.00
2025,PINAL DE AMOLES,PACAS Y SUPLEMENTOS,122,510720.00,0.00,0.00,510720.00
2025,QUERÉTARO,APÍCOLAS,21,124073.00,0.00,0.00,124073.00
2025,QUERÉTARO,AVENA Y GARBANZO,234,677525.00,0.00,0.00,677525.00
2025,QUERÉTARO,BORDERÍA,6,344373.00,0.00,190353.75,534726.75
2025,QUERÉTARO,DINAMISMO AGROALIMENTARIO,45,1343518.00,0.00,1430641.10,2774159.10
2025,QUERÉTARO,MAÍZ BLANCO,1391,3950871.42,0.00,0.00,3950871.42
2025,QUERÉTARO,MUNICIPALIZADO,1050,3000000.00,3000000.00,9206662.64,15206662.64
2025,QUERÉTARO,PACAS Y SUPLEMENTOS,53,109704.00,0.00,0.00,109704.00
2025,QUERÉTARO,TECNIFICACIÓN,2,63044.00,0.00,63045.00,126089.00
2025,SAN JOAQUÍN,AVENA Y GARBANZO,18,82350.00,0.00,0.00,82350.00
2025,SAN JOAQUÍN,BORDERÍA,3,695000.00,0.00,479940.00,1174940.00
2025,SAN JOAQUÍN,DINAMISMO AGROALIMENTARIO,4,206730.00,0.00,214230.00,420960.00
2025,SAN JOAQUÍN,MAÍZ BLANCO,303,399742.00,0.00,0.00,399742.00
2025,SAN JOAQUÍN,MUNICIPALIZADO,125,1000000.00,1000000.00,1112470.00,3112470.00
2025,SAN JOAQUÍN,PACAS Y SUPLEMENTOS,53,230020.00,0.00,0.00,230020.00
2025,SAN JUAN DEL RÍO,APÍCOLAS,12,65548.00,0.00,0.00,65548.00
2025,SAN JUAN DEL RÍO,AVENA Y GARBANZO,349,1390500.00,0.00,0.00,1390500.00
2025,SAN JUAN DEL RÍO,BORDERÍA,4,287440.00,0.00,623269.40,910709.40
2025,SAN JUAN DEL RÍO,DINAMISMO AGROALIMENTARIO,187,7735252.00,0.00,14168366.19,21903618.19
2025,SAN JUAN DEL RÍO,MAÍZ BLANCO,2102,5572048.00,0.00,0.00,5572048.00
2025,SAN JUAN DEL RÍO,MUNICIPALIZADO,253,4000000.00,4000000.00,8782304.00,16782304.00
2025,SAN JUAN DEL RÍO,PACAS Y SUPLEMENTOS,239,997080.00,0.00,0.00,997080.00
2025,SAN JUAN DEL RÍO,TECNIFICACIÓN,13,3441079.00,0.00,5901579.68,9342658.68
2025,TEQUISQUIAPAN,APÍCOLAS,5,25751.00,0.00,0.00,25751.00
2025,TEQUISQUIAPAN,AVENA Y GARBANZO,122,484650.00,0.00,0.00,484650.00
2025,TEQUISQUIAPAN,BORDERÍA,8,388224.00,0.00,205484.00,593708.00
2025,TEQUISQUIAPAN,DINAMISMO AGROALIMENTARIO,52,2403881.00,0.00,5390674.68,7794555.68
2025,TEQUISQUIAPAN,MAÍZ BLANCO,560,1598969.00,0.00,0.00,1598969.00
2025,TEQUISQUIAPAN,MUNICIPALIZADO,29,500000.00,500000.00,1108271.00,2108271.00
2025,TEQUISQUIAPAN,PACAS Y SUPLEMENTOS,104,199752.00,0.00,0.00,199752.00
2025,TEQUISQUIAPAN,TECNIFICACIÓN,4,371245.00,0.00,206095.50,577340.50
2025,TOLIMÁN,APÍCOLAS,3,17557.50,0.00,0.00,17557.50
2025,TOLIMÁN,AVENA Y GARBANZO,53,147150.00,0.00,0.00,147150.00
2025,TOLIMÁN,BORDERÍA,2,128286.00,0.00,72190.00,200476.00
2025,TOLIMÁN,DINAMISMO AGROALIMENTARIO,36,1121123.00,0.00,1239344.00,2360467.00
2025,TOLIMÁN,MAÍZ BLANCO,210,459960.00,0.00,0.00,459960.00
2025,TOLIMÁN,MUNICIPALIZADO,134,500000.00,500000.00,575877.79,1575877.79
2025,TOLIMÁN,PACAS Y SUPLEMENTOS,140,588000.00,0.00,0.00,588000.00
