resumen_id,anio,programa_id,beneficiarios,beneficiarios_indir,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total,fuente_archivo,cargado_en,programa_nombre,categoria
28,2023,49,11,7632,11,0.00,30486892.00,0.00,0.00,30486892.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"FERIAS, EVENTOS Y APOYO A COTAS",
24,2023,68,14057,132488,14057,0.00,84801528.00,0.00,0.00,84801528.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,MAÍZ CONSUMO HUMANO,
25,2023,69,5631,0,5631,0.00,19244000.00,0.00,0.00,19244000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"PACAS FORRAJERAS CONCENTRADOS, CISTERNAS Y VIAJES DE AGUA",
29,2023,52,9,36,9,0.00,858000.00,0.00,1861024.36,2719024.36,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,PERFORACIÓN DE POZOS (GASTO CORRIENTE),
34,2023,54,80,1835,80,0.00,6187717.00,0.00,4255161.16,10442878.16,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,PROGRAMA DE BORDERÍA,
32,2023,48,4762,,4762,0.00,39045650.00,39045650.00,58159763.00,136251063.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,PROGRAMA MUNICIPALIZADO,
30,2023,64,12,,12,0.00,500000.00,0.00,0.00,500000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,REFORESTACIÓN Y RESTAURACIÓN INTEGRAL,
31,2023,51,3,4604,3,26499860.00,10300000.00,0.00,0.00,36799860.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"SANIDAD E INOCUIDAD AGROALIMENTARIA 
(ACUÍCOLA, VEGETAL Y PECUARIO)",
27,2023,71,2909,,2909,0.00,10000000.00,0.00,0.00,10000000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"SEMILLA DE AVENA, GARBANZO Y MAÍZ",
26,2023,70,261,0,261,0.00,1105800.00,0.00,0.00,1105800.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,SUPLEMENTO ALIMENCITIO APÍCOLA,
