apoyo_id,anio,programa_id,municipio_id,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total,fuente_archivo,fuente_hoja,cargado_en,programa_nombre,categoria,municipio_nombre,region_nombre
106,2025,44,7,5,0.00,4081690.00,0.00,2110900.33,6192590.33,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Tecnificación2025Estatal,2026-07-30 20:05:33.097295+00,TECNIFICACIÓN,,EZEQUIEL MONTES,CADEREYTA
172,2023,45,12,3,0.00,75000.00,0.00,51000.00,126000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2023Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,PEÑAMILLER,CADEREYTA
141,2023,42,12,254,0.00,1300000.00,1300000.00,1354760.00,3954760.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado23Estatal,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,PEÑAMILLER,CADEREYTA
191,2024,45,12,3,0.00,25053.00,0.00,10740.30,35793.30,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2024Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,PEÑAMILLER,CADEREYTA
155,2024,42,12,103,0.00,706766.10,706766.10,1289637.80,2703170.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado24Estatal_,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,PEÑAMILLER,CADEREYTA
36,2025,39,12,22,0.00,90450.00,0.00,0.00,90450.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,"Avena, Garbanzo 2025",2026-07-30 20:05:33.097295+00,AVENA Y GARBANZO,,PEÑAMILLER,CADEREYTA
99,2025,43,12,4,0.00,337000.00,0.00,153000.00,490000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Bordería2025Estatal,2026-07-30 20:05:33.097295+00,BORDERÍA,,PEÑAMILLER,CADEREYTA
128,2025,45,12,9,0.00,177860.00,0.00,189936.26,367796.26,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2025Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,PEÑAMILLER,CADEREYTA
70,2025,41,12,738,0.00,1126197.00,0.00,0.00,1126197.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Maíz Blanco2025Estatal,2026-07-30 20:05:33.097295+00,MAÍZ BLANCO,,PEÑAMILLER,CADEREYTA
84,2025,42,12,140,0.00,1000000.00,1000000.00,1141416.00,3141416.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado2025Estatal,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,PEÑAMILLER,CADEREYTA
